Age of Employee,Employee Attrition Needed,Business Travel,Dept,Education Degree,Emp. No.,Gender,Job Level,Role,Job Satisfaction Rate,Marital Status,Income per month,No. of Companies Worked,Over Time,Salary Growth Rate,Performance Rate,Employment Span,Years At Company,Years In Current Position,Years Since Last Promotion,Duration with Current Manager
42,No,Travel_Rarely,Sales,Marketing,35,Male,2,Sales Executive,2,Married,6825,0,No,11,3,10,9,7,4,2
33,No,Travel_Rarely,Research & Development,Medical,39,Male,1,Laboratory Technician,4,Single,2496,4,No,11,3,7,1,1,0,0
44,No,Travel_Rarely,Research & Development,Other,40,Male,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,9,4,2,1,3
30,No,Travel_Rarely,Research & Development,Medical,41,Male,1,Laboratory Technician,3,Single,2206,1,No,13,3,10,10,0,1,8
39,Yes,Travel_Rarely,Sales,Technical Degree,42,Male,2,Sales Representative,4,Married,2086,3,No,14,3,19,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,Medical,45,Male,1,Research Scientist,4,Married,2293,2,Yes,16,3,6,2,0,2,0
43,No,Travel_Rarely,Research & Development,Medical,46,Female,1,Research Scientist,3,Divorced,2645,1,No,12,3,6,5,3,1,4
50,Yes,Travel_Rarely,Sales,Marketing,47,Male,1,Sales Representative,3,Married,2683,1,Yes,14,3,3,3,2,0,2
35,No,Travel_Rarely,Sales,Marketing,49,Female,1,Sales Representative,4,Married,2014,1,No,13,3,2,2,2,2,2
33,No,Travel_Frequently,Sales,Life Sciences,52,Female,2,Sales Executive,1,Married,5376,2,No,19,3,10,5,3,1,3
35,No,Travel_Rarely,Research & Development,Other,53,Male,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,1,1,0,0,0
27,No,Travel_Rarely,Research & Development,Life Sciences,54,Female,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,1,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,Life Sciences,55,Male,1,Laboratory Technician,3,Single,2293,1,No,12,3,1,1,0,0,1
27,No,Travel_Frequently,Sales,Life Sciences,56,Male,3,Sales Executive,3,Single,8726,1,No,15,3,9,9,8,1,7
35,No,Travel_Rarely,Research & Development,Life Sciences,63,Male,1,Laboratory Technician,4,Married,2269,1,No,19,3,1,1,0,0,1
28,Yes,Travel_Rarely,Research & Development,Technical Degree,65,Male,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,2,2,2,2,2
35,No,Non-Travel,Research & Development,Medical,70,Male,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,10,4,0,2,3
26,No,Travel_Rarely,Sales,Marketing,72,Female,2,Sales Executive,4,Married,4157,7,Yes,19,3,5,2,2,0,0
35,No,Travel_Rarely,Research & Development,Medical,75,Female,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,4,2,2,2,2
37,No,Travel_Rarely,Research & Development,Life Sciences,77,Male,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,7,7,5,0,7
55,No,Travel_Rarely,Research & Development,Medical,84,Female,4,Manager,3,Divorced,14756,2,Yes,14,3,21,5,0,0,2
36,No,Travel_Frequently,Research & Development,Life Sciences,85,Male,2,Manufacturing Director,2,Single,6499,1,No,13,3,6,6,5,0,3
45,No,Travel_Rarely,Research & Development,Life Sciences,86,Male,3,Research Scientist,1,Divorced,9724,2,No,17,3,25,1,0,0,0
35,No,Travel_Frequently,Research & Development,Medical,88,Male,1,Research Scientist,1,Married,2194,4,No,13,3,5,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,Medical,90,Male,1,Research Scientist,3,Married,3388,0,Yes,17,3,2,1,0,0,0
59,No,Travel_Frequently,Sales,Life Sciences,91,Female,2,Sales Executive,3,Single,5473,7,No,11,3,20,4,3,1,3
31,No,Travel_Rarely,Research & Development,Medical,95,Male,1,Research Scientist,2,Single,2501,1,No,17,3,1,1,1,1,0
32,No,Travel_Rarely,Research & Development,Life Sciences,96,Male,2,Research Scientist,2,Married,6220,1,No,17,3,10,10,4,0,9
36,No,Travel_Rarely,Research & Development,Life Sciences,97,Female,1,Laboratory Technician,4,Married,3038,3,No,12,3,5,1,0,0,0
35,No,Travel_Rarely,Sales,Marketing,100,Male,2,Sales Executive,1,Single,4312,0,No,14,3,16,15,13,2,8
45,No,Travel_Rarely,Research & Development,Other,101,Male,3,Research Director,1,Married,13245,4,Yes,14,3,17,0,0,0,0
37,No,Travel_Rarely,Research & Development,Medical,102,Male,3,Research Director,3,Single,13664,4,No,13,3,16,5,2,0,2
30,No,Travel_Rarely,Research & Development,Life Sciences,104,Male,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,10,10,8,3,0
35,No,Travel_Rarely,Research & Development,Medical,105,Male,1,Research Scientist,3,Single,2859,1,No,18,3,6,6,4,0,4
55,No,Travel_Rarely,Sales,Life Sciences,106,Male,3,Sales Executive,4,Married,10239,3,No,14,3,24,1,0,1,0
38,No,Non-Travel,Research & Development,Medical,107,Female,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,17,13,11,1,9
34,No,Travel_Rarely,Research & Development,Medical,110,Male,2,Manufacturing Director,2,Married,4325,1,No,15,3,5,5,2,1,3
23,No,Travel_Rarely,Sales,Technical Degree,113,Male,1,Sales Representative,1,Divorced,2322,3,No,13,3,3,0,0,0,0
46,Yes,Travel_Rarely,Sales,Medical,118,Male,3,Sales Executive,4,Single,9619,1,No,16,3,9,9,8,4,7
30,No,Travel_Rarely,Sales,Medical,121,Female,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,11,11,8,2,7
32,No,Travel_Rarely,Sales,Medical,125,Male,2,Sales Executive,3,Single,5010,1,No,16,3,12,11,8,5,7
28,No,Non-Travel,Sales,Medical,129,Male,2,Sales Executive,3,Married,4221,1,No,15,3,5,5,4,0,4
44,No,Non-Travel,Research & Development,Medical,132,Male,2,Laboratory Technician,2,Married,2042,4,No,12,3,17,3,2,1,2
32,No,Travel_Rarely,Research & Development,Life Sciences,134,Male,1,Research Scientist,1,Single,2956,1,No,13,3,1,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,Life Sciences,137,Female,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,1,1,0,1,0
34,No,Travel_Rarely,Research & Development,Other,138,Female,2,Research Scientist,3,Single,4809,1,No,14,3,16,16,13,2,10
37,No,Non-Travel,Research & Development,Life Sciences,139,Male,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,17,1,0,0,0
25,Yes,Travel_Rarely,Sales,Marketing,142,Male,2,Sales Executive,3,Single,5744,1,Yes,11,3,6,6,4,0,3
25,No,Travel_Rarely,Research & Development,Medical,143,Male,1,Research Scientist,4,Married,2889,1,No,11,3,2,2,2,2,1
22,No,Travel_Rarely,Research & Development,Medical,144,Female,1,Laboratory Technician,4,Single,2871,1,No,15,3,1,0,0,0,0
24,No,Travel_Rarely,Research & Development,Life Sciences,150,Male,1,Laboratory Technician,3,Married,2774,0,No,12,3,6,5,3,1,2
34,No,Travel_Rarely,Research & Development,Life Sciences,151,Female,2,Research Scientist,2,Divorced,4505,6,No,15,3,12,1,0,0,0
37,No,Travel_Rarely,Sales,Life Sciences,152,Male,3,Sales Executive,4,Single,7428,2,No,12,3,12,5,3,1,3
34,No,Travel_Rarely,Research & Development,Medical,153,Female,3,Manager,1,Single,11631,2,No,12,3,14,11,10,5,8
36,No,Travel_Frequently,Sales,Technical Degree,154,Female,3,Sales Executive,4,Married,9738,0,No,14,3,10,9,7,2,8
33,No,Non-Travel,Sales,Marketing,160,Male,2,Sales Executive,2,Married,6146,0,No,13,3,8,7,7,0,7
31,Yes,Travel_Rarely,Sales,Life Sciences,163,Male,2,Sales Executive,3,Married,6172,4,Yes,18,3,12,7,7,7,7
26,No,Travel_Rarely,Research & Development,Other,164,Female,1,Research Scientist,2,Married,2368,1,No,19,3,5,5,4,4,3
19,Yes,Travel_Rarely,Sales,Marketing,167,Male,1,Sales Representative,3,Single,1675,1,Yes,19,3,0,0,0,0,0
22,No,Travel_Rarely,Research & Development,Technical Degree,169,Male,1,Laboratory Technician,4,Married,2523,0,No,14,3,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,Medical,170,Female,2,Manufacturing Director,1,Married,6567,1,No,14,3,16,15,11,5,11
43,No,Travel_Frequently,Research & Development,Medical,171,Female,1,Research Scientist,3,Single,4739,4,No,12,3,18,3,2,1,2
50,No,Travel_Frequently,Sales,Marketing,174,Female,3,Sales Executive,4,Single,9208,4,No,11,3,16,2,2,2,1
31,Yes,Travel_Rarely,Sales,Life Sciences,175,Female,2,Sales Executive,3,Married,4559,3,Yes,11,3,4,2,2,2,2
41,No,Travel_Rarely,Sales,Life Sciences,176,Male,3,Sales Executive,3,Divorced,8189,3,Yes,13,3,12,9,7,0,7
51,Yes,Travel_Frequently,Research & Development,Life Sciences,179,Male,3,Manufacturing Director,4,Single,10650,2,No,15,3,18,4,2,0,3
39,No,Travel_Rarely,Sales,Life Sciences,182,Female,2,Sales Executive,3,Married,5902,4,No,14,3,17,15,11,5,9
25,No,Travel_Rarely,Sales,Life Sciences,183,Male,2,Sales Executive,3,Married,8639,2,No,18,3,6,2,2,2,2
30,No,Travel_Rarely,Human Resources,Human Resources,184,Male,2,Human Resources,4,Married,6347,0,Yes,19,3,12,11,9,4,7
45,No,Travel_Rarely,Research & Development,Medical,192,Male,1,Research Scientist,4,Single,3452,5,No,13,3,9,6,5,0,3
30,No,Travel_Rarely,Research & Development,Life Sciences,194,Female,1,Research Scientist,3,Single,2632,1,No,14,3,5,5,4,0,4
32,No,Travel_Frequently,Sales,Medical,195,Male,2,Sales Executive,4,Divorced,4668,0,No,17,3,9,8,7,0,7
30,No,Travel_Rarely,Research & Development,Technical Degree,197,Female,1,Research Scientist,1,Divorced,3204,5,No,14,3,8,3,2,2,2
30,No,Travel_Rarely,Research & Development,Medical,198,Male,1,Laboratory Technician,4,Single,2720,0,No,13,3,6,5,3,1,2
19,No,Travel_Rarely,Research & Development,Medical,201,Female,1,Laboratory Technician,2,Single,1483,1,No,14,3,1,1,0,0,0
35,No,Travel_Rarely,Sales,Marketing,204,Male,3,Sales Executive,2,Married,7295,1,No,13,3,10,10,8,0,6
32,No,Travel_Frequently,Sales,Marketing,207,Female,3,Sales Executive,4,Single,8998,1,No,14,3,9,9,8,3,7
29,No,Non-Travel,Research & Development,Technical Degree,208,Male,2,Manufacturing Director,3,Married,4319,1,No,13,3,10,10,7,0,9
51,No,Travel_Rarely,Research & Development,Medical,211,Male,2,Manufacturing Director,3,Married,6132,2,No,17,3,10,1,0,0,0
40,No,Travel_Rarely,Sales,Marketing,215,Male,3,Sales Executive,4,Married,10855,7,No,11,3,15,12,11,2,11
34,No,Travel_Frequently,Sales,Marketing,216,Female,1,Sales Representative,3,Married,2231,6,No,18,3,6,4,3,1,2
27,No,Non-Travel,Research & Development,Medical,218,Male,1,Research Scientist,2,Divorced,2024,6,No,18,3,6,2,2,2,2
28,No,Travel_Rarely,Research & Development,Medical,221,Male,1,Research Scientist,4,Married,2713,1,No,11,3,5,5,2,0,2
57,No,Travel_Rarely,Research & Development,Life Sciences,223,Male,3,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,12,5,3,1,4
27,No,Non-Travel,Research & Development,Medical,224,Male,1,Research Scientist,3,Divorced,2566,1,Yes,15,3,1,1,1,0,1
41,No,Travel_Rarely,Research & Development,Life Sciences,227,Male,1,Research Scientist,3,Divorced,2451,4,No,12,3,13,9,8,1,8
30,No,Travel_Rarely,Sales,Life Sciences,228,Female,3,Sales Executive,4,Married,9419,2,No,12,3,12,10,9,7,4
27,No,Travel_Rarely,Research & Development,Technical Degree,233,Male,1,Research Scientist,2,Married,3058,0,Yes,16,3,6,5,2,1,1
36,No,Travel_Frequently,Research & Development,Medical,238,Male,1,Laboratory Technician,2,Single,2088,4,No,12,3,13,8,7,7,2
30,No,Non-Travel,Research & Development,Medical,239,Male,2,Laboratory Technician,1,Divorced,3072,1,No,11,3,12,12,9,6,10
45,No,Travel_Rarely,Sales,Life Sciences,240,Female,2,Sales Executive,1,Divorced,5006,4,Yes,11,3,9,5,4,0,3
56,No,Travel_Rarely,Research & Development,Life Sciences,241,Female,1,Research Scientist,1,Divorced,4257,4,Yes,18,3,19,2,2,2,2
33,No,Travel_Rarely,Research & Development,Life Sciences,242,Male,1,Research Scientist,4,Single,2500,0,No,14,3,4,3,1,0,2
38,No,Travel_Rarely,Research & Development,Life Sciences,245,Female,1,Laboratory Technician,4,Single,2288,1,No,12,3,2,2,2,2,1
34,No,Travel_Rarely,Research & Development,Medical,247,Female,1,Research Scientist,2,Single,2311,2,No,15,3,9,3,2,1,2
50,No,Travel_Rarely,Research & Development,Medical,249,Male,1,Laboratory Technician,3,Married,3690,2,No,15,3,5,3,2,0,2
53,No,Travel_Rarely,Research & Development,Medical,250,Female,2,Manufacturing Director,1,Divorced,4450,1,No,11,3,5,4,2,1,3
33,No,Travel_Rarely,Research & Development,Medical,252,Female,1,Research Scientist,2,Married,2756,1,No,13,3,8,8,7,1,6
34,No,Travel_Frequently,Research & Development,Life Sciences,256,Male,2,Manufacturing Director,3,Married,9547,1,No,17,3,10,10,9,1,9
51,No,Travel_Rarely,Research & Development,Medical,258,Female,4,Healthcare Representative,2,Single,13734,3,No,18,3,21,7,7,1,0
27,No,Travel_Rarely,Research & Development,Medical,260,Female,1,Research Scientist,2,Single,2279,1,No,16,3,7,7,7,0,3
35,Yes,Travel_Rarely,Research & Development,Life Sciences,261,Male,2,Manufacturing Director,3,Married,5916,3,Yes,13,3,8,1,0,0,1
43,No,Non-Travel,Research & Development,Medical,262,Male,1,Research Scientist,4,Divorced,2089,4,No,14,3,7,5,4,2,2
37,No,Travel_Rarely,Research & Development,Life Sciences,267,Male,1,Research Scientist,1,Married,3564,1,Yes,12,3,8,8,7,1,7
35,No,Travel_Frequently,Research & Development,Medical,269,Female,2,Laboratory Technician,2,Single,4425,5,No,11,3,10,6,2,1,2
42,No,Non-Travel,Research & Development,Medical,270,Female,2,Manufacturing Director,3,Divorced,5265,2,No,16,3,11,5,3,0,2
38,No,Travel_Rarely,Research & Development,Technical Degree,273,Male,2,Manufacturing Director,4,Married,6261,3,No,18,3,9,7,7,1,7
27,No,Travel_Frequently,Research & Development,Technical Degree,274,Male,2,Manufacturing Director,1,Married,4298,5,No,19,3,6,2,2,2,0
49,No,Non-Travel,Research & Development,Life Sciences,275,Male,2,Manufacturing Director,4,Divorced,6804,1,Yes,15,3,7,7,7,1,7
34,No,Travel_Frequently,Research & Development,Medical,277,Male,1,Research Scientist,3,Divorced,3815,1,Yes,17,3,5,5,3,2,0
40,No,Travel_Rarely,Research & Development,Medical,281,Male,2,Laboratory Technician,4,Married,2741,8,Yes,15,3,15,7,2,3,7
38,Yes,Travel_Rarely,Research & Development,Medical,282,Male,2,Healthcare Representative,1,Married,6673,7,Yes,19,3,17,1,0,0,0
22,No,Travel_Rarely,Research & Development,Life Sciences,284,Male,1,Research Scientist,2,Divorced,2328,1,Yes,16,3,4,4,2,2,2
36,No,Travel_Frequently,Research & Development,Medical,286,Female,1,Laboratory Technician,4,Single,2153,1,No,13,3,8,8,1,1,7
46,No,Travel_Rarely,Research & Development,Medical,288,Male,3,Healthcare Representative,1,Divorced,9396,7,No,16,3,17,4,2,0,3
27,No,Travel_Frequently,Sales,Life Sciences,293,Female,2,Sales Executive,3,Single,9981,1,No,14,3,7,7,7,0,7
51,No,Travel_Rarely,Research & Development,Life Sciences,296,Male,3,Research Director,2,Married,12490,5,No,16,3,16,10,9,4,7
30,Yes,Travel_Rarely,Research & Development,Technical Degree,297,Female,1,Research Scientist,1,Single,2657,5,Yes,11,3,8,5,2,0,4
41,No,Travel_Rarely,Sales,Life Sciences,298,Female,3,Manager,4,Single,13591,3,Yes,18,3,16,1,0,0,0
30,Yes,Travel_Frequently,Sales,Marketing,299,Female,2,Sales Executive,1,Single,6696,5,No,15,3,9,6,3,0,1
29,Yes,Travel_Rarely,Research & Development,Technical Degree,300,Male,1,Research Scientist,3,Single,2058,0,No,14,3,7,6,2,1,5
54,No,Travel_Rarely,Sales,Marketing,303,Female,2,Sales Executive,1,Married,5940,2,No,14,3,16,6,2,0,5
36,No,Travel_Rarely,Research & Development,Life Sciences,304,Male,2,Laboratory Technician,2,Single,5914,8,No,16,3,16,13,11,3,7
37,No,Travel_Frequently,Research & Development,Other,306,Male,3,Research Director,4,Divorced,12185,1,Yes,14,3,10,10,8,0,7
38,No,Travel_Rarely,Sales,Life Sciences,307,Male,3,Sales Executive,3,Divorced,10609,0,No,12,3,17,16,10,5,13
31,No,Non-Travel,Research & Development,Medical,308,Male,2,Manufacturing Director,3,Married,4345,0,No,12,3,6,5,4,1,4
59,No,Travel_Rarely,Research & Development,Life Sciences,309,Male,1,Research Scientist,4,Married,2177,3,No,17,3,7,1,0,0,0
37,No,Travel_Frequently,Sales,Marketing,311,Male,1,Sales Representative,4,Divorced,2793,4,No,17,3,13,9,8,5,8
29,No,Travel_Frequently,Sales,Medical,312,Female,3,Sales Executive,4,Married,7918,1,No,14,3,11,11,10,4,1
35,No,Travel_Frequently,Sales,Marketing,314,Female,3,Sales Executive,3,Single,8789,1,No,14,3,10,10,7,0,8
29,Yes,Travel_Rarely,Research & Development,Medical,315,Male,1,Research Scientist,4,Single,2389,1,Yes,13,3,4,4,3,0,1
52,No,Travel_Rarely,Research & Development,Life Sciences,316,Female,1,Laboratory Technician,4,Single,3212,7,No,15,3,6,2,2,2,2
59,No,Travel_Rarely,Human Resources,Medical,321,Male,1,Human Resources,3,Married,2267,8,No,17,3,7,2,2,2,2
33,Yes,Travel_Rarely,Research & Development,Medical,325,Male,1,Laboratory Technician,4,Married,2436,5,Yes,13,3,8,5,4,0,4
32,No,Travel_Rarely,Sales,Life Sciences,330,Female,1,Sales Representative,2,Married,3931,2,No,11,3,6,4,3,1,2
32,Yes,Travel_Rarely,Research & Development,Life Sciences,331,Male,1,Laboratory Technician,3,Single,3730,0,Yes,14,3,4,3,2,1,2
39,No,Travel_Rarely,Research & Development,Medical,332,Female,1,Laboratory Technician,3,Divorced,2232,7,No,14,3,7,3,2,1,2
32,No,Non-Travel,Sales,Marketing,333,Male,2,Sales Executive,4,Married,4465,0,No,18,3,4,3,2,2,2
41,No,Travel_Rarely,Research & Development,Life Sciences,334,Male,2,Research Scientist,1,Divorced,3072,2,No,16,3,17,1,0,0,0
40,No,Travel_Rarely,Research & Development,Technical Degree,335,Male,2,Research Scientist,4,Divorced,3319,1,No,17,3,9,9,8,4,7
33,No,Travel_Rarely,Research & Development,Life Sciences,338,Female,1,Research Scientist,4,Married,2911,1,No,13,3,2,2,2,0,2
34,No,Travel_Rarely,Research & Development,Life Sciences,339,Male,2,Manufacturing Director,1,Married,5957,6,No,13,3,13,11,9,5,9
37,No,Travel_Rarely,Research & Development,Medical,340,Female,1,Research Scientist,1,Married,3920,2,No,14,3,17,3,1,0,2
45,No,Travel_Frequently,Research & Development,Life Sciences,341,Male,2,Manufacturing Director,3,Married,6434,4,No,17,3,9,3,2,0,2
37,Yes,Travel_Frequently,Research & Development,Medical,342,Male,3,Manufacturing Director,3,Divorced,10048,6,No,11,3,17,1,0,0,0
29,No,Travel_Rarely,Research & Development,Life Sciences,346,Male,1,Research Scientist,4,Single,2340,1,No,19,3,6,6,5,1,5
42,No,Travel_Rarely,Research & Development,Life Sciences,347,Female,2,Research Scientist,1,Single,6545,3,Yes,13,3,10,3,2,0,2
29,No,Travel_Rarely,Sales,Marketing,349,Male,2,Sales Executive,4,Divorced,6931,2,No,14,3,10,3,2,0,2
25,No,Travel_Rarely,Research & Development,Life Sciences,350,Female,2,Manufacturing Director,3,Married,4898,0,No,12,3,5,4,2,1,2
42,No,Travel_Rarely,Research & Development,Medical,351,Female,1,Laboratory Technician,1,Divorced,2593,0,Yes,11,3,10,9,6,7,8
51,No,Travel_Rarely,Research & Development,Life Sciences,353,Male,1,Research Scientist,4,Married,2723,1,No,11,3,1,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,Medical,355,Male,1,Laboratory Technician,2,Single,3479,0,No,11,3,6,5,4,1,4
38,No,Non-Travel,Sales,Life Sciences,361,Male,2,Sales Executive,4,Married,5249,3,No,18,3,13,8,7,7,5
32,No,Travel_Rarely,Research & Development,Technical Degree,362,Male,2,Laboratory Technician,1,Single,2176,4,No,13,3,9,6,2,0,4
28,Yes,Travel_Rarely,Research & Development,Life Sciences,364,Male,1,Laboratory Technician,3,Single,3485,2,No,11,3,5,0,0,0,0
29,No,Travel_Rarely,Sales,Medical,366,Male,2,Sales Executive,2,Married,6644,2,No,19,3,10,0,0,0,0
25,No,Non-Travel,Research & Development,Life Sciences,369,Male,2,Healthcare Representative,1,Divorced,4000,1,No,12,3,6,6,3,1,5
37,No,Travel_Rarely,Sales,Medical,378,Male,2,Sales Executive,4,Married,6502,4,No,14,3,7,5,4,0,1
21,No,Travel_Rarely,Research & Development,Medical,379,Male,1,Research Scientist,3,Single,3230,1,No,17,3,3,3,2,1,0
37,No,Non-Travel,Research & Development,Medical,380,Female,3,Research Director,4,Divorced,13603,2,Yes,18,3,15,5,2,0,2
35,No,Travel_Rarely,Research & Development,Life Sciences,381,Female,3,Manager,2,Divorced,11996,7,No,18,3,10,7,7,6,2
29,No,Travel_Frequently,Sales,Life Sciences,388,Male,2,Sales Executive,4,Single,4554,1,No,18,3,10,10,7,0,9
55,No,Travel_Rarely,Research & Development,Technical Degree,389,Male,2,Laboratory Technician,4,Married,5415,3,Yes,19,3,12,10,7,0,8
26,No,Travel_Frequently,Research & Development,Medical,390,Male,2,Healthcare Representative,1,Married,4741,1,Yes,13,3,5,5,3,3,3
37,No,Travel_Rarely,Research & Development,Life Sciences,391,Female,1,Research Scientist,4,Single,2115,1,No,12,3,17,17,12,5,7
26,Yes,Travel_Rarely,Research & Development,Medical,394,Male,1,Laboratory Technician,2,Divorced,2373,2,Yes,13,3,5,3,2,0,2
36,No,Travel_Rarely,Research & Development,Technical Degree,397,Male,2,Research Scientist,2,Single,4485,4,No,12,3,10,8,0,7,7
31,No,Travel_Frequently,Sales,Marketing,399,Female,1,Sales Representative,2,Divorced,2789,1,No,11,3,2,2,2,2,2
26,Yes,Travel_Rarely,Sales,Marketing,401,Male,2,Sales Executive,4,Single,5828,1,Yes,12,3,8,8,7,7,4
37,No,Travel_Frequently,Research & Development,Medical,403,Male,1,Research Scientist,4,Married,2326,1,Yes,12,3,4,4,2,1,2
18,Yes,Travel_Rarely,Research & Development,Life Sciences,405,Male,1,Laboratory Technician,3,Single,1420,1,No,13,3,0,0,0,0,0
35,No,Travel_Rarely,Sales,Marketing,406,Male,3,Sales Executive,2,Married,8020,0,No,15,3,12,11,9,6,9
36,No,Travel_Frequently,Research & Development,Life Sciences,407,Male,1,Laboratory Technician,4,Married,3688,4,No,18,3,4,1,0,0,0
51,No,Travel_Rarely,Research & Development,Medical,408,Male,2,Manufacturing Director,2,Divorced,5482,5,No,18,3,13,4,1,1,2
18,No,Travel_Rarely,Sales,Medical,411,Female,1,Sales Representative,3,Single,1200,1,No,12,3,0,0,0,0,0
28,No,Travel_Rarely,Research & Development,Medical,412,Male,2,Healthcare Representative,1,Single,5661,0,No,19,3,9,8,3,0,7
31,No,Travel_Rarely,Sales,Technical Degree,416,Male,2,Sales Executive,4,Married,6929,4,No,11,3,10,8,7,7,7
39,No,Travel_Rarely,Research & Development,Medical,417,Male,3,Healthcare Representative,4,Divorced,9613,0,No,17,3,19,18,10,3,7
36,No,Non-Travel,Research & Development,Life Sciences,419,Female,2,Laboratory Technician,2,Married,5674,7,No,15,3,11,9,8,0,8
32,No,Travel_Rarely,Sales,Life Sciences,420,Male,2,Sales Executive,3,Married,5484,1,No,14,3,13,13,8,4,8
38,No,Travel_Rarely,Research & Development,Life Sciences,421,Female,3,Research Director,2,Married,12061,3,No,17,3,19,10,8,0,1
58,No,Non-Travel,Research & Development,Life Sciences,422,Male,2,Healthcare Representative,3,Divorced,5660,2,Yes,13,3,12,5,3,1,2
31,No,Travel_Rarely,Research & Development,Technical Degree,423,Male,1,Research Scientist,4,Married,4821,0,Yes,12,3,6,5,2,0,3
31,No,Travel_Rarely,Human Resources,Human Resources,424,Male,2,Human Resources,1,Married,6410,3,No,12,3,9,2,2,1,0
31,No,Travel_Rarely,Research & Development,Life Sciences,426,Male,1,Research Scientist,4,Divorced,2695,0,Yes,18,3,3,2,2,2,2
43,No,Travel_Frequently,Research & Development,Life Sciences,430,Female,1,Laboratory Technician,4,Single,2455,0,No,19,3,9,8,7,1,7
49,No,Travel_Rarely,Research & Development,Technical Degree,431,Female,4,Healthcare Representative,3,Single,13964,7,Yes,12,3,25,7,1,0,7
52,Yes,Travel_Rarely,Research & Development,Medical,433,Male,2,Research Scientist,2,Married,4941,2,No,15,3,11,8,2,7,7
27,No,Travel_Rarely,Research & Development,Life Sciences,434,Female,1,Research Scientist,2,Single,2478,1,Yes,12,3,4,4,3,1,2
27,No,Travel_Rarely,Sales,Life Sciences,437,Male,2,Sales Executive,3,Single,4478,1,Yes,11,3,5,5,4,0,4
31,No,Travel_Rarely,Sales,Marketing,438,Male,2,Sales Executive,4,Divorced,7547,4,No,12,3,13,7,7,1,7
